season,year,country,total_contingent,total_medal,total_gold,total_silver,total_bronze
Summer,1896,Greece,102,44,10,17,17
Summer,1896,UK,10,9,3,3,3
Summer,1896,Switzerland,3,3,1,2,0
Summer,1896,USA,14,19,11,6,2
Summer,1896,Germany,19,14,7,5,2
Summer,1896,France,12,11,5,4,2
Summer,1896,Hungary,7,6,2,1,3
Summer,1896,Australia,1,3,2,0,1
Summer,1896,Austria,3,5,2,1,2
Summer,1896,Denmark,3,6,1,2,3
Summer,1896,Italy,1,0,0,0,0
Summer,1896,Sweden,1,0,0,0,0
Summer,1900,Denmark,13,7,2,3,2
Summer,1900,Germany,76,8,4,3,1
Summer,1900,USA,75,54,21,16,17
Summer,1900,France,720,102,28,40,34
Summer,1900,Austria,16,6,0,3,3
Summer,1900,Norway,7,5,0,2,3
Summer,1900,UK,104,42,19,11,12
Summer,1900,Italy,23,5,3,2,0
Summer,1900,Belgium,64,18,6,7,5
Summer,1900,Hungary,18,5,1,2,2
Summer,1900,Switzerland,18,9,6,2,1
Summer,1900,Netherlands,35,7,1,2,4
Summer,1900,Sweden,10,2,1,0,1
Summer,1900,Argentina,1,0,0,0,0
Summer,1900,Spain,9,1,1,0,0
Summer,1900,Haiti,3,1,1,0,0
Summer,1900,Peru,1,0,0,0,0
Summer,1900,Russia,4,0,0,0,0
Summer,1900,Czech Republic,7,3,0,1,2
Summer,1900,Mexico,3,1,0,0,1
Summer,1900,Cuba,1,2,1,1,0
Summer,1900,Canada,4,2,1,0,1
Summer,1900,Colombia,1,1,0,1,0
Summer,1900,Brazil,1,0,0,0,0
Summer,1900,Australia,2,6,3,0,3
Summer,1900,New Zealand,1,1,1,0,0
Summer,1900,Iran,1,0,0,0,0
Summer,1900,Greece,3,0,0,0,0
Summer,1900,Romania,1,0,0,0,0
Summer,1900,India,1,2,0,2,0
Summer,1900,Luxembourg,1,1,1,0,0
Summer,1904,USA,524,230,76,79,75
Summer,1904,Canada,57,6,4,1,1
Summer,1904,Italy,1,0,0,0,0
Summer,1904,Germany,22,16,4,5,7
Summer,1904,Cuba,3,4,4,0,0
Summer,1904,France,1,2,0,2,0
Summer,1904,UK,6,2,1,1,0
Summer,1904,Hungary,4,4,2,1,1
Summer,1904,Greece,14,2,1,0,1
Summer,1904,Norway,3,2,2,0,0
Summer,1904,Australia,2,4,0,3,1
Summer,1904,South Africa,8,0,0,0,0
Summer,1904,Switzerland,3,3,1,0,2
Summer,1904,Austria,2,4,2,1,1
Summer,1906,Greece,320,35,8,14,13
Summer,1906,Germany,49,14,4,6,4
Summer,1906,UK,48,25,8,12,5
Summer,1906,Finland,4,4,2,1,1
Summer,1906,Italy,76,16,7,6,3
Summer,1906,Denmark,49,6,3,2,1
Summer,1906,Norway,32,2,1,1,0
Summer,1906,Sweden,39,14,2,5,7
Summer,1906,Hungary,35,10,2,5,3
Summer,1906,Canada,3,2,1,1,0
Summer,1906,Austria,31,9,3,3,3
Summer,1906,USA,38,23,12,5,6
Summer,1906,France,56,41,15,10,16
Summer,1906,Australia,4,3,0,0,3
Summer,1906,Netherlands,16,3,0,1,2
Summer,1906,Belgium,16,7,2,2,3
Summer,1906,Egypt,2,0,0,0,0
Summer,1906,Czech Republic,13,2,0,0,2
Summer,1906,Switzerland,9,8,4,3,1
Summer,1906,Turkey,1,0,0,0,0
Summer,1908,Italy,66,4,2,2,0
Summer,1908,Germany,82,13,3,5,5
Summer,1908,UK,735,143,56,50,37
Summer,1908,USA,122,46,22,12,12
Summer,1908,Sweden,168,25,8,6,11
Summer,1908,Denmark,78,5,0,2,3
Summer,1908,Australia,30,5,1,2,2
Summer,1908,France,208,19,5,5,9
Summer,1908,Norway,69,8,2,3,3
Summer,1908,Canada,87,16,3,3,10
Summer,1908,Belgium,70,8,1,5,2
Summer,1908,Hungary,65,9,3,4,2
Summer,1908,Finland,62,5,1,1,3
Summer,1908,Greece,20,4,0,3,1
Summer,1908,Czech Republic,19,2,0,0,2
Summer,1908,Netherlands,113,2,0,0,2
Summer,1908,South Africa,14,2,1,1,0
Summer,1908,Russia,6,3,1,2,0
Summer,1908,Austria,7,1,0,0,1
Summer,1908,Iceland,1,0,0,0,0
Summer,1908,Argentina,1,0,0,0,0
Summer,1908,Switzerland,1,0,0,0,0
Summer,1912,Finland,164,26,9,8,9
Summer,1912,Norway,190,10,4,1,5
Summer,1912,Sweden,444,65,24,24,17
Summer,1912,Germany,185,26,6,13,7
Summer,1912,UK,274,41,10,15,16
Summer,1912,Luxembourg,21,0,0,0,0
Summer,1912,France,119,15,7,5,3
Summer,1912,Hungary,121,8,3,2,3
Summer,1912,USA,174,63,26,18,19
Summer,1912,Austria,85,4,0,2,2
Summer,1912,Russia,159,5,0,2,3
Summer,1912,Belgium,36,6,2,1,3
Summer,1912,Italy,66,8,5,1,2
Summer,1912,Chile,14,0,0,0,0
